Station,Zip,Location,ann-tmin-prbfst-t24Fp50.txt,ann-tmin-prbfst-t24Fp60.txt,ann-tmin-prbfst-t24Fp70.txt,ann-tmin-prbfst-t24Fp80.txt,ann-tmin-prbfst-t24Fp90.txt,ann-tmin-prbfst-t28Fp50.txt,ann-tmin-prbfst-t28Fp60.txt,ann-tmin-prbfst-t28Fp70.txt,ann-tmin-prbfst-t28Fp80.txt,ann-tmin-prbfst-t28Fp90.txt,ann-tmin-prbfst-t32Fp50.txt,ann-tmin-prbfst-t32Fp60.txt,ann-tmin-prbfst-t32Fp70.txt,ann-tmin-prbfst-t32Fp80.txt,ann-tmin-prbfst-t32Fp90.txt,ann-tmin-prblst-t24Fp50.txt,ann-tmin-prblst-t24Fp60.txt,ann-tmin-prblst-t24Fp70.txt,ann-tmin-prblst-t24Fp80.txt,ann-tmin-prblst-t24Fp90.txt,ann-tmin-prblst-t28Fp50.txt,ann-tmin-prblst-t28Fp60.txt,ann-tmin-prblst-t28Fp70.txt,ann-tmin-prblst-t28Fp80.txt,ann-tmin-prblst-t28Fp90.txt,ann-tmin-prblst-t32Fp50.txt,ann-tmin-prblst-t32Fp60.txt,ann-tmin-prblst-t32Fp70.txt,ann-tmin-prblst-t32Fp80.txt,ann-tmin-prblst-t32Fp90.txt
USC00015439,36075,Shorter,12/14R,12/20R,12/27R,01/02R,01/13R,11/30R,12/02R,12/06R,12/13R,12/25R,11/13R,11/17R,11/22R,11/30R,12/05R,02/11R,02/06R,02/01R,01/28R,01/16R,03/01R,02/26R,02/21R,02/15R,02/05R,03/20R,03/15R,03/10R,03/04R,02/25R
USC00015553,36116,Montgomery,12/09R,12/14R,12/20R,12/28R,01/06R,11/24R,11/29R,12/02R,12/07R,12/16R,11/08R,11/12R,11/16R,11/22R,12/01R,02/13R,02/07R,02/02R,01/29R,01/18R,03/03R,02/28R,02/22R,02/17R,02/08R,03/19R,03/15R,03/11R,03/05R,02/27R
USC00015635,35650,Moulton,11/24S,11/28S,12/02S,12/05S,12/12S,11/09S,11/13S,11/17S,11/23S,12/01S,10/29S,11/01S,11/04S,11/08S,11/14S,03/09S,03/05S,02/28S,02/25S,02/19S,03/25S,03/21S,03/17S,03/12S,03/04S,04/06S,04/03S,03/31S,03/27S,03/21S
USC00016121,35121,Oneonta,12/03R,12/06R,12/10R,12/16R,12/27R,11/17R,11/21R,11/27R,12/01R,12/06R,11/02R,11/05R,11/09R,11/14R,11/22R,03/03R,02/28R,02/23R,02/17R,02/10R,03/20R,03/17R,03/12R,03/05R,02/26R,04/02R,03/30R,03/26R,03/22R,03/16R
USC00016129,36801,Opelika,12/04R,12/08R,12/13R,12/22R,01/01R,11/20R,11/24R,11/29R,12/03R,12/09R,11/05R,11/08R,11/12R,11/18R,11/25R,02/28R,02/22R,02/17R,02/10R,02/01R,03/16R,03/12R,03/07R,03/01R,02/22R,04/03R,03/31R,03/26R,03/21R,03/13R
USC00016478,35215,Birmingham,11/26S,11/30S,12/03S,12/06S,12/15S,11/10S,11/13S,11/17S,11/23S,12/01S,10/30S,11/01S,11/04S,11/08S,11/13S,03/11S,03/06S,03/01S,02/24S,02/17S,03/28S,03/24S,03/20S,03/15S,03/07S,04/09S,04/06S,04/03S,03/30S,03/23S
USC00016988,36567,Robertsdale,12/26S,01/01S,01/05S,01/14S,01/27S,12/10S,12/15S,12/22S,12/30S,01/08S,11/26S,12/01S,12/03S,12/08S,12/17S,02/01S,01/29S,01/22S,01/12S,12/31S,02/18S,02/14S,02/08S,02/02S,01/25S,03/06S,03/01S,02/26S,02/21S,02/14S
USC00017020,35136,Rockford,12/08R,12/13R,12/19R,12/26R,01/03R,11/25R,11/29R,12/02R,12/06R,12/14R,11/10R,11/14R,11/17R,11/22R,12/01R,02/27R,02/21R,02/16R,02/09R,02/01R,03/15R,03/10R,03/05R,02/28R,02/20R,03/31R,03/28R,03/23R,03/18R,03/10R
USC00017025,36274,Roanoke,12/01R,12/03R,12/07R,12/14R,12/25R,11/12R,11/17R,11/21R,11/28R,12/04R,10/31R,11/02R,11/05R,11/10R,11/17R,02/27R,02/22R,02/17R,02/11R,02/03R,03/17R,03/12R,03/06R,03/01R,02/23R,04/03R,03/31R,03/26R,03/21R,03/14R
USC00017131,35653,Russellville,11/30R,12/02R,12/06R,12/12R,12/23R,11/15R,11/19R,11/24R,11/30R,12/05R,11/01R,11/04R,11/08R,11/14R,11/21R,03/03R,02/28R,02/23R,02/19R,02/10R,03/21R,03/17R,03/11R,03/05R,02/27R,04/04R,04/01R,03/29R,03/24R,03/17R
USC00017157,35055,Cullman,11/13R,11/17R,11/21R,11/26R,12/03R,11/01R,11/04R,11/07R,11/12R,11/18R,10/23R,10/25R,10/28R,11/01R,11/05R,03/15R,03/10R,03/05R,02/28R,02/22R,03/30R,03/26R,03/22R,03/17R,03/11R,04/10R,04/07R,04/03R,03/30R,03/24R
